THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone
 OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E
 148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3
 .00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/2022/11/service-man-copy.png HTTP/1.1" 200 45541 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/202
2/11/LEG-200x200.jpg HTTP/1.1" 200 26992 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/2022/11/BREAST-200x200.jpg HTTP/1.1" 200 26337 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/2
022/11/HALF-CHICKEN-200x200.jpg HTTP/1.1" 200 24712 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/2022/11/TENDERS-200x200.jpg HTTP/1.1" 200 32433 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:38 +0000] "GET /wp-content/uploads/2022/11/JUMBOWINGS-200x200.jpg HTTP/1.1" 200 32876 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
